iter	Logloss
589	0.4584365453
590	0.4583478496
591	0.4582389589
592	0.4581308204
593	0.4580820946
594	0.4579948628
595	0.457849509
596	0.4577151829
597	0.457610159
598	0.4574766651
599	0.4573609803
600	0.4572823253
601	0.4571263155
602	0.4569920178
603	0.4569059677
604	0.4568472641
605	0.456774438
606	0.4567047858
607	0.4566000827
608	0.4564712591
609	0.4563432083
610	0.4562506151
611	0.4560829798
612	0.4559887935
613	0.4558411301
614	0.4557745383
615	0.455653443
616	0.4555032583
617	0.4554085256
618	0.4553175059
619	0.4552348005
620	0.455102274
621	0.4549946446
622	0.4548739025
623	0.4547166924
624	0.4546228956
625	0.4545201438
626	0.454436145
627	0.4542904253
628	0.4541625221
629	0.4540864544
630	0.4539969316
631	0.4538508827
632	0.4537525536
633	0.4536289924
634	0.4535468134
635	0.4534810305
636	0.4533960339
637	0.4533174354
638	0.4532353591
639	0.4531450358
640	0.4530564632
641	0.4529326578
642	0.4528244916
643	0.4527021186
644	0.4525548317
645	0.4524367867
646	0.4523507086
647	0.4522284282
648	0.4521190295
649	0.4519884162
650	0.4518361022
651	0.4517273362
652	0.45162783
653	0.4515227317
654	0.4514283738
655	0.4513159881
656	0.4512752071
657	0.451214154
658	0.4510789229
659	0.4509723241
660	0.4508338603
661	0.4507011674
662	0.4505870234
663	0.4504940244
664	0.4503598215
665	0.4502220816
666	0.4500918468
667	0.4499522748
668	0.4498943021
669	0.4498184165
670	0.4496920928
671	0.4495687507
672	0.4494802485
673	0.4493790483
674	0.449326866
675	0.4492138525
676	0.4491234305
677	0.449012933
678	0.4488903058
679	0.4488140294
680	0.448706647
681	0.4486377911
682	0.448479258
683	0.4484088509
684	0.4483052516
685	0.4481674546
686	0.4480724008
687	0.4479763889
688	0.4479183705
689	0.44781497
690	0.4477020575
691	0.447610722
692	0.447525782
693	0.4473743445
694	0.4473004242
695	0.4471598805
696	0.4470726798
697	0.4469905169
698	0.4469102803
699	0.4468473665
700	0.4467077955
701	0.4466337399
702	0.4465363675
703	0.446461631
704	0.4463695646
705	0.4462649527
706	0.4461413051
707	0.4460472722
708	0.4459765004
709	0.4459231174
710	0.4457728251
711	0.4456226561
712	0.4455392574
713	0.4454033708
714	0.4452777972
715	0.4451558966
716	0.4450754207
717	0.4449257367
718	0.4447993444
719	0.4446847749
720	0.4446187177
721	0.4444835674
722	0.4444278049
723	0.4443253214
724	0.444243143
725	0.4441579131
726	0.4440105235
727	0.4439356991
728	0.4438414355
729	0.4437757405
730	0.4436645737
731	0.4435731	0.4732	0.4434545102
733	0.4433049918
734	0.4432236487
735	0.4430718782
736	0.4429423648
737	0.4428754363
738	0.4427517255
739	0.442685682
740	0.4425933126
741	0.4425074703
742	0.4423950652
743	0.4422317072
744	0.4421714129
745	0.44205798
746	0.4419499438
747	0.4418579062
748	0.4417873803
749	0.4417096537
750	0.4416343122
751	0.4415576071
752	0.4414976234
753	0.4413648798
754	0.4412613693
755	0.4411556114
756	0.4410901851
757	0.4409834792
758	0.4408763318
759	0.4407689424
760	0.4407081923
761	0.4406099469
762	0.4404983262
763	0.4404053559
764	0.4403108346
765	0.4401696746
766	0.4400674093
767	0.4399790022
768	0.4398179129
769	0.4397360771
770	0.4396150608
771	0.4395004099
772	0.4393700586
773	0.4392909388
774	0.4391758604
775	0.4390759655
776	0.439006085
777	0.4388934543
778	0.4387523172
779	0.43861362
780	0.4384711722
781	0.4384076016
782	0.4383257561
783	0.4382571982
784	0.4381797317
785	0.4380510836
786	0.4379678009
787	0.4378841342
788	0.4377737038
789	0.4376968751
790	0.4375901364
791	0.4374748709
792	0.4373516897
793	0.4372490629
794	0.4371728869
795	0.4370754598
796	0.4368841576
797	0.4367738674
798	0.4366657032
799	0.4365531357
800	0.4364099024
801	0.4362707465
802	0.4361641736
803	0.4360917274
804	0.4359554344
805	0.435884561
806	0.4357944812
807	0.4356685934
808	0.435580574
809	0.4354709592
810	0.4353869671
811	0.4353001184
812	0.4351886186
813	0.4350546012
814	0.4349527938
815	0.4348988801
816	0.4347765135
817	0.4346230473
818	0.4345587453
819	0.4344373208
820	0.4343794272
821	0.4342665659
822	0.4341751668
823	0.4340876428
824	0.4339905756
825	0.4338657545
826	0.4337765973
827	0.4337014955
828	0.4335869051
829	0.4334812781
830	0.4334117161
831	0.4333479446
832	0.4332421297
833	0.433096585
834	0.4329618535
835	0.4328666718
836	0.4327980848
837	0.432705825
838	0.4326084154
839	0.4325631129
840	0.4324930526
841	0.4323651493
842	0.4322767829
843	0.4321882131
844	0.4320594231
845	0.43198697
846	0.4319340458
847	0.4318256575
848	0.431736435
849	0.4316507022
850	0.4315468094
851	0.4314539543
852	0.4313096491
853	0.4312364869
854	0.4311350988
855	0.4310639129
856	0.4309519574
857	0.4308632708
858	0.4307637609
859	0.430666849
860	0.4305547305
861	0.4304791469
862	0.430375027
863	0.4302708782
864	0.4301671963
865	0.4300867621
866	0.4300053147
867	0.4298726301
868	0.4297907849
869	0.4297319157
870	0.4296380256
871	0.4295444679
872	0.4294814224
873	0.4294008974
874	0.4292939469
875	0.4291781209
876	0.429110517
877	0.4877	0.4289878	0.4878	0.4288879	0.4879	0.4287880	0.4880	0.4286881	0.4881	0.4285882	0.4882	0.4284883	0.4883	0.4283884	0.4884	0.4282885	0.4885	0.4281886	0.4886	0.4280887	0.4887	0.4279888	0.4888	0.4278889	0.4889	0.427890	0.42890	0.42891	0.427891	0.4892	0.4275892	0.4893	0.4274893	0.894	0.42733894	0.895	0.42723895	0.896	0.42711896	0.897	0.42703897	0.898	0.42696898	0.899	0.42683899	0.900	0.42673900	0.901	0.4266901	0.4902	0.4265902	0.4903	0.4265903	0.4904	0.4264904	0.4905	0.4264905	0.4906	0.4263906	0.4907	0.4262907	0.4908	0.4261908	0.4909	0.4260909	0.4910	0.425910	0.42911	0.425911	0.42912	0.425912	0.42913	0.425913	0.42914	0.425914	0.915	0.42550915	0.916	0.42545916	0.917	0.42535917	0.918	0.42521918	0.919	0.42509919	0.920	0.42496920	0.921	0.42484921	0.922	0.42481922	0.923	0.4246923	0.4924	0.4246924	0.4925	0.4245925	0.4926	0.4244926	0.4927	0.4243927	0.4928	0.4242928	0.4929	0.424929	0.42930	0.424930	0.42931	0.424931	0.42932	0.423932	0.42933	0.423933	0.4934	0.4237934	0.4935	0.4236935	0.4936	0.4235936	0.4937	0.4234937	0.4938	0.4233938	0.4939	0.4232939	0.4940	0.4231940	0.4941	0.4230941	0.4942	0.4229942	0.4943	0.4228943	0.4944	0.4227944	0.945	0.42266945	0946	0.422581946	0947	0.422522947	0948	0.422447948	0949	0.422306949	0950	0.422244950	0951	0.422151951	0952	0.4220952	0.4953	0.4219953	0.4954	0.4217954	0.4955	0.4216955	0.4956	0.4215956	0.4957	0.4214957	0.4958	0.4213958	0.4959	0.4212959	0.4960	0.4210960	0.4961	0.4209961	0.4962	0.4208962	0.4963	0.4207963	0.4964	0.4206964	0.4965	0.4206965	0.4966	0.4204966	0.4967	0.4203967	0.4968	0.420968	0.41969	0.420969	0.41970	0.420970	0.41971	0.419971	0.4972	0.4198972	0.4973	0.4198973	0.4974	0.4197974	0.975	0.41966975	0.976	0.41954976	0.977	0.41941977	0978	0.41931978	0.979	0.41924979	0.980	0.41920980	0.981	0.41913981	0.982	0.41901982	0.983	0.41890983	0.984	0.41881984	0.985	0.41868985	0.986	0.41865986	0.987	0.41859987	0.988	0.41850988	0.989	0.41836989	0.990	0.41826990	0.991	0.41813991	0.992	0.41802992	0.993	0.41794993	0.994	0.41783994	0.995	0.41772995	0.996	0.41758996	0.997	0.41750997	0.998	0.41742998	0.999	0.4173999	0.4172683845
